Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study,strain,time_point
SRR3038072,RNA-Seq,50,2264705250,PRJNA303174,SAMN04358628,"Microbe\, viral or environmental",1325754481,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494263,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T40C1,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:53:00Z,1,Cba18 40 min C,"C,culture",SRP066570,18,40
SRR3038073,RNA-Seq,50,2221450000,PRJNA303174,SAMN04358628,"Microbe\, viral or environmental",1297324647,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494264,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T40C2,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:53:00Z,1,Cba18 40 min C,"C,culture",SRP066570,18,40
SRR3038074,RNA-Seq,50,1894536150,PRJNA303174,SAMN04358628,"Microbe\, viral or environmental",1102964705,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494265,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T40C3,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:55:00Z,1,Cba18 40 min C,"C,culture",SRP066570,18,40
SRR3038075,RNA-Seq,50,2451036250,PRJNA303174,SAMN04358629,"Microbe\, viral or environmental",1430367709,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494266,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T40R1,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:53:00Z,1,Cba18 40 min I,"I,culture",SRP066570,18,40
SRR3038076,RNA-Seq,50,1734794250,PRJNA303174,SAMN04358629,"Microbe\, viral or environmental",1012959022,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494267,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T40R2,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:51:00Z,1,Cba18 40 min I,"I,culture",SRP066570,18,40
SRR3038079,RNA-Seq,50,2787266950,PRJNA303174,SAMN04358630,"Microbe\, viral or environmental",1628128191,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494270,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T60C2,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:54:00Z,1,Cba18 60 min C,"culture,C",SRP066570,18,60
SRR3038080,RNA-Seq,50,1130488300,PRJNA303174,SAMN04358630,"Microbe\, viral or environmental",656307410,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494271,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T60C3,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:50:00Z,1,Cba18 60 min C,"culture,C",SRP066570,18,60
SRR3038081,RNA-Seq,50,2488870550,PRJNA303174,SAMN04358631,"Microbe\, viral or environmental",1453563175,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494272,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T60R1,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:58:00Z,1,Cba18 60 min I,"I,culture",SRP066570,18,60
SRR3038083,RNA-Seq,50,849411050,PRJNA303174,SAMN04358631,"Microbe\, viral or environmental",494694515,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494274,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T60R3,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:48:00Z,1,Cba18 60 min I,"I,culture",SRP066570,18,60
SRR3038084,RNA-Seq,50,1940846150,PRJNA303174,SAMN04358632,"Microbe\, viral or environmental",1104362034,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494275,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T0C1,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:41:00Z,1,Cba38 0 min C,"C,culture",SRP066570,38,0
SRR3038085,RNA-Seq,50,864289200,PRJNA303174,SAMN04358632,"Microbe\, viral or environmental",492271171,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494276,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T0C2,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:38:00Z,1,Cba38 0 min C,"C,culture",SRP066570,38,0
SRR3038086,RNA-Seq,50,1970634350,PRJNA303174,SAMN04358632,"Microbe\, viral or environmental",1146097341,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494277,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T0C3,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:49:00Z,1,Cba38 0 min C,"C,culture",SRP066570,38,0
SRR3038089,RNA-Seq,50,570541700,PRJNA303174,SAMN04358633,"Microbe\, viral or environmental",334819644,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494280,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T0R3,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:37:00Z,1,Cba38 0 min I,"I,culture",SRP066570,38,0
SRR3038090,RNA-Seq,50,2786889700,PRJNA303174,SAMN04358634,"Microbe\, viral or environmental",1580518379,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494281,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T120C1,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:44:00Z,1,Cba38 120 min C,"C,culture",SRP066570,38,120
SRR3038091,RNA-Seq,50,2139838200,PRJNA303174,SAMN04358634,"Microbe\, viral or environmental",1257184821,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494282,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T120C2,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:42:00Z,1,Cba38 120 min C,"C,culture",SRP066570,38,120
SRR3038092,RNA-Seq,50,466936500,PRJNA303174,SAMN04358634,"Microbe\, viral or environmental",275415956,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494283,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T120C3,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:37:00Z,1,Cba38 120 min C,"C,culture",SRP066570,38,120
SRR3038096,RNA-Seq,50,6952507500,PRJNA303174,SAMN04358635,"Microbe\, viral or environmental",3955847291,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494287,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T120R3,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:57:00Z,1,Cba38 120 min I,"I,culture",SRP066570,38,120
SRR3038097,RNA-Seq,50,2225997050,PRJNA303174,SAMN04358636,"Microbe\, viral or environmental",1256621768,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494288,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T15C1,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:42:00Z,1,Cba38 15 min C,"C,culture",SRP066570,38,15
SRR3038098,RNA-Seq,50,2826344900,PRJNA303174,SAMN04358636,"Microbe\, viral or environmental",1594395229,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494289,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T15C2,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:45:00Z,1,Cba38 15 min C,"C,culture",SRP066570,38,15
SRR3038099,RNA-Seq,50,2601578450,PRJNA303174,SAMN04358636,"Microbe\, viral or environmental",1509479299,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494290,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T15C3,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:46:00Z,1,Cba38 15 min C,"C,culture",SRP066570,38,15
SRR3038100,RNA-Seq,50,2275050800,PRJNA303174,SAMN04358637,"Microbe\, viral or environmental",1283920548,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494291,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T15R1,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:42:00Z,1,Cba38 15 min I,"culture,I",SRP066570,38,15
SRR3038101,RNA-Seq,50,1090501750,PRJNA303174,SAMN04358637,"Microbe\, viral or environmental",619552863,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494292,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T15R2_38,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:38:00Z,1,Cba38 15 min I,"culture,I",SRP066570,38,15
SRR3038112,RNA-Seq,50,1632026050,PRJNA303174,SAMN04358640,"Microbe\, viral or environmental",954215170,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494303,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T45C3,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:41:00Z,1,Cba38 45 min C,"culture,C",SRP066570,38,45
SRR3038113,RNA-Seq,50,1115683100,PRJNA303174,SAMN04358641,"Microbe\, viral or environmental",632270176,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494304,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T45R1,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:39:00Z,1,Cba38 45 min I,"culture,I",SRP066570,38,45
SRR3038058,RNA-Seq,50,2047236450,PRJNA303174,SAMN04358623,"Microbe\, viral or environmental",1198262013,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494249,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T0R2,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:42:00Z,1,Cba18 0 min I,"I,culture",SRP066570,18,0
SRR3038059,RNA-Seq,50,2319055750,PRJNA303174,SAMN04358623,"Microbe\, viral or environmental",1346438535,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494250,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T0R3,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:46:00Z,1,Cba18 0 min I,"I,culture",SRP066570,18,0
SRR3038063,RNA-Seq,50,2423130450,PRJNA303174,SAMN04358625,"Microbe\, viral or environmental",1417162956,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494254,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T120R1,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:58:00Z,1,Cba18 120 min I,"I,culture",SRP066570,18,120
SRR3038064,RNA-Seq,50,2777306550,PRJNA303174,SAMN04358625,"Microbe\, viral or environmental",1613768215,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494255,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T120R2,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:57:00Z,1,Cba18 120 min I,"I,culture",SRP066570,18,120
SRR3038065,RNA-Seq,50,1552177550,PRJNA303174,SAMN04358625,"Microbe\, viral or environmental",903181770,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494256,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T120R3,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:53:00Z,1,Cba18 120 min I,"I,culture",SRP066570,18,120
SRR3038066,RNA-Seq,50,2158297550,PRJNA303174,SAMN04358626,"Microbe\, viral or environmental",1261676166,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494257,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T20C1,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:58:00Z,1,Cba18 20 min C,"C,culture",SRP066570,18,20
SRR3038067,RNA-Seq,50,1910225950,PRJNA303174,SAMN04358626,"Microbe\, viral or environmental",1121285234,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494258,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T20C2,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:53:00Z,1,Cba18 20 min C,"C,culture",SRP066570,18,20
SRR3038068,RNA-Seq,50,1961717150,PRJNA303174,SAMN04358626,"Microbe\, viral or environmental",1145721947,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494259,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T20C3,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:54:00Z,1,Cba18 20 min C,"C,culture",SRP066570,18,20
SRR3038077,RNA-Seq,50,806968500,PRJNA303174,SAMN04358629,"Microbe\, viral or environmental",470533817,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494268,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T40R3,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:48:00Z,1,Cba18 40 min I,"I,culture",SRP066570,18,40
SRR3038078,RNA-Seq,50,2349953850,PRJNA303174,SAMN04358630,"Microbe\, viral or environmental",1375194265,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494269,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T60C1,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:54:00Z,1,Cba18 60 min C,"culture,C",SRP066570,18,60
SRR3038082,RNA-Seq,50,2578905400,PRJNA303174,SAMN04358631,"Microbe\, viral or environmental",1497550647,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494273,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T60R2,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:54:00Z,1,Cba18 60 min I,"I,culture",SRP066570,18,60
SRR3038087,RNA-Seq,50,3270549850,PRJNA303174,SAMN04358633,"Microbe\, viral or environmental",1840639369,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494278,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T0R1,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:45:00Z,1,Cba38 0 min I,"I,culture",SRP066570,38,0
SRR3038088,RNA-Seq,50,1295095600,PRJNA303174,SAMN04358633,"Microbe\, viral or environmental",760542954,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494279,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T0R2,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:44:00Z,1,Cba38 0 min I,"I,culture",SRP066570,38,0
SRR3038093,RNA-Seq,50,1623004150,PRJNA303174,SAMN04358635,"Microbe\, viral or environmental",917048476,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494284,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T120R1_38_1_diluted,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:40:00Z,1,Cba38 120 min I,"I,culture",SRP066570,38,120
SRR3038094,RNA-Seq,50,1657194050,PRJNA303174,SAMN04358635,"Microbe\, viral or environmental",943297551,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494285,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,T120R1_38_2,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica NN016038,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:42:00Z,1,Cba38 120 min I,"I,culture",SRP066570,38,120
