gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NC_031281.1_23	21401	21763	363	1	0.642	11	GGAG/GAGG	GENOMAD.075122.VV	7.275e-64	213	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_031281.1_24	21760	21927	168	1	0.619	11	None	GENOMAD.096698.VV	5.922e-27	103	0	0	1	1246	Caudoviricetes	NA	NA	PF24191	Mycobacteriophage protein with transmembrane helix
NC_031281.1_25	21997	23352	1356	1	0.667	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_031281.1_26	23355	23753	399	1	0.699	11	GGA/GAG/AGG	GENOMAD.068941.VV	1.854e-18	83	0	0	1	1246	Caudoviricetes	NA	NA	PF16081	Mycobacterial 2 TMS Phage Holin (M2 Hol) Family
NC_031281.1_27	23750	24223	474	1	0.648	11	None	GENOMAD.026555.VV	6.36e-24	100	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_031281.1_28	24257	26740	2484	-1	0.573	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_031281.1_29	27215	27721	507	-1	0.645	11	GGA/GAG/AGG	GENOMAD.227446.VP	4.405e-101	323	0	0	0	7696	Charlievirus	NA	NA	NA	NA
NC_031281.1_30	27788	28129	342	-1	0.687	11	None	GENOMAD.105565.VV	1.713e-43	154	0	0	0	14925	Backyardiganvirus	NA	NA	PF10708	NA
NC_031281.1_31	28163	29134	972	-1	0.640	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_031281.1_32	29140	29511	372	-1	0.653	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_031281.1_33	29645	29878	234	1	0.654	11	GGA/GAG/AGG	GENOMAD.223601.VP	1.502e-06	46	0	0	0	1	NA	NA	NA	PF08667;TIGR02612;COG5606;K22299	mobile mystery protein A
NC_031281.1_34	29875	30222	348	1	0.704	11	GGA/GAG/AGG	GENOMAD.181926.VC	6.916e-38	138	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_031281.1_35	30219	30392	174	1	0.598	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_031281.1_36	30389	30883	495	1	0.679	11	None	GENOMAD.116530.VV	4.484e-40	147	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_031281.1_37	30942	31196	255	1	0.678	11	AGGA	GENOMAD.159262.VV	1.902e-44	155	0	0	0	7696	Charlievirus	NA	NA	NA	NA
NC_031281.1_38	31193	31591	399	1	0.679	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_031281.1_39	31558	31998	441	1	0.655	11	GGA/GAG/AGG	GENOMAD.118509.VV	3.242e-85	276	0	0	0	7696	Charlievirus	NA	NA	NA	NA
NC_031281.1_40	31995	32267	273	1	0.689	11	GGAGG	GENOMAD.119151.VV	1.597e-33	124	0	0	0	7696	Charlievirus	NA	NA	NA	NA
NC_031281.1_41	32264	32647	384	1	0.659	11	None	GENOMAD.169249.VC	2.015e-05	45	0	0	0	5302	Keshuvirus	NA	NA	PF02467	Transcription factor WhiB
NC_031281.1_42	32644	32988	345	1	0.690	11	AGxAGG/AGGxGG	GENOMAD.094428.VV	4.047e-67	222	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_031281.1_43	32985	33995	1011	1	0.675	11	3Base/5BMM	GENOMAD.136323.VP	2.349e-07	55	0	0	1	1246	Caudoviricetes	NA	NA	PF09588;COG5377;TIGR03033	Phage-related protein, predicted endonuclease
NC_031281.1_44	34001	35065	1065	1	0.661	11	GGA/GAG/AGG	GENOMAD.159850.VP	1.116e-129	416	0	0	0	1246	Caudoviricetes	NA	NA	PF03837;TIGR00616;K07455;COG3723	recombinase, phage RecT family
NC_031281.1_45	35062	35424	363	1	0.689	11	None	GENOMAD.117137.VV	6.452e-41	147	0	0	0	16044	Pclasvirinae	NA	NA	NA	NA
NC_031281.1_46	35421	35813	393	1	0.702	11	GGA/GAG/AGG	GENOMAD.011790.VV	6.316e-54	185	0	0	0	1246	Caudoviricetes	NA	NA	PF09903;COG1591	Holliday junction resolvase, archaeal type
NC_031281.1_47	35810	36058	249	1	0.602	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_031281.1_48	36055	36270	216	1	0.625	11	AGxAGG/AGGxGG	GENOMAD.137987.VV	4.135e-38	136	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_031281.1_49	36267	36539	273	1	0.648	11	AGGA/GGAG/GAGG	GENOMAD.104299.VV	5.695e-44	154	0	0	0	1246	Caudoviricetes	NA	NA	PF24212	NA
NC_031281.1_50	36536	36829	294	1	0.639	11	GGAG/GAGG	GENOMAD.188987.VV	4.786e-57	192	0	0	0	7696	Charlievirus	NA	NA	NA	NA
NC_031281.1_51	36829	37047	219	1	0.703	11	GGAGG	GENOMAD.120486.VV	9.406e-16	72	0	0	0	12432	Bernalvirus	NA	NA	NA	NA
NC_031281.1_52	37157	38233	1077	1	0.671	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_031281.1_53	38226	38558	333	1	0.643	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_031281.1_54	38650	38922	273	1	0.707	11	GGA/GAG/AGG	GENOMAD.208208.VV	8.352e-56	188	0	0	0	16044	Pclasvirinae	NA	NA	NA	NA
NC_031281.1_55	38919	39056	138	1	0.652	11	GGAG/GAGG	GENOMAD.079178.VV	2.727e-22	89	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_031281.1_56	39059	39931	873	1	0.645	11	GGAGG	GENOMAD.023575.VV	5.998e-58	205	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_031281.1_57	39928	40521	594	1	0.705	11	GGAGG	GENOMAD.066846.VV	2.758e-95	308	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_031281.1_58	40518	40766	249	1	0.683	11	AGxAGG/AGGxGG	GENOMAD.141986.VV	7.144e-38	136	0	0	0	13215	Lclasvirinae	NA	NA	NA	NA
NC_031281.1_59	40763	41095	333	1	0.676	11	AGGAG	GENOMAD.152132.VV	1.111e-70	232	0	0	0	7696	Charlievirus	NA	NA	NA	NA
NC_031281.1_60	41098	41757	660	1	0.661	11	GGA/GAG/AGG	GENOMAD.061292.VV	7.53e-41	152	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_031281.1_61	41901	42167	267	1	0.640	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_031281.1_62	42391	42801	411	1	0.640	11	GGA/GAG/AGG	GENOMAD.016677.VV	3.084e-56	192	0	0	1	1246	Caudoviricetes	NA	NA	PF03354;COG4626	Terminase large subunit, ATPase domain
NC_031281.1_63	42798	43043	246	1	0.663	11	GGA/GAG/AGG	GENOMAD.064454.VV	1.75e-28	109	0	0	0	7192	Cheoctovirus	NA	NA	NA	NA
