sys_id,type,subtype,activity,sys_beg,sys_end,protein_in_syst,genes_count,name_of_profiles_in_sys,Geneid
ordered_protein_CAS_Class1-Subtype-III-A_6,Cas,CAS_Class1-Subtype-III-A,Defense,WP_011229155.1,WP_011229148.1,WP_011174458.1,9,"cas10_III-A_1,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_8,csm2gr11_III-A_1,csm3gr7_III-A_1,csm4gr5_III-A_2,csm5gr7_III-A_2,csx1_III_21,csx1_III_21",TTH_RS10775
ordered_protein_CAS_Class1-Subtype-III-A_6,Cas,CAS_Class1-Subtype-III-A,Defense,WP_011229155.1,WP_011229148.1,WP_011229148.1,9,"cas10_III-A_1,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_8,csm2gr11_III-A_1,csm3gr7_III-A_1,csm4gr5_III-A_2,csm5gr7_III-A_2,csx1_III_21,csx1_III_21",TTH_RS10780
ordered_protein_CAS_Class1-Subtype-III-B_7,Cas,CAS_Class1-Subtype-III-B,Defense,WP_011229144.1,WP_011229139.1,WP_011229144.1,6,"cas10_III_6,cmr1gr7_III-B_1,cmr3gr5_III-B_III-C_8,cmr4gr7_III-B_III-C_1,cmr5gr11_III-B_4,cmr6gr7_III-B_3",TTH_RS10815
ordered_protein_CAS_Class1-Subtype-III-B_7,Cas,CAS_Class1-Subtype-III-B,Defense,WP_011229144.1,WP_011229139.1,WP_011229143.1,6,"cas10_III_6,cmr1gr7_III-B_1,cmr3gr5_III-B_III-C_8,cmr4gr7_III-B_III-C_1,cmr5gr11_III-B_4,cmr6gr7_III-B_3",TTH_RS10820
ordered_protein_CAS_Class1-Subtype-III-B_7,Cas,CAS_Class1-Subtype-III-B,Defense,WP_011229144.1,WP_011229139.1,WP_011229142.1,6,"cas10_III_6,cmr1gr7_III-B_1,cmr3gr5_III-B_III-C_8,cmr4gr7_III-B_III-C_1,cmr5gr11_III-B_4,cmr6gr7_III-B_3",TTH_RS11740
ordered_protein_CAS_Class1-Subtype-III-B_7,Cas,CAS_Class1-Subtype-III-B,Defense,WP_011229144.1,WP_011229139.1,WP_011229141.1,6,"cas10_III_6,cmr1gr7_III-B_1,cmr3gr5_III-B_III-C_8,cmr4gr7_III-B_III-C_1,cmr5gr11_III-B_4,cmr6gr7_III-B_3",TTH_RS10830
ordered_protein_CAS_Class1-Subtype-III-B_7,Cas,CAS_Class1-Subtype-III-B,Defense,WP_011229144.1,WP_011229139.1,WP_011229140.1,6,"cas10_III_6,cmr1gr7_III-B_1,cmr3gr5_III-B_III-C_8,cmr4gr7_III-B_III-C_1,cmr5gr11_III-B_4,cmr6gr7_III-B_3",TTH_RS10835
ordered_protein_CAS_Class1-Subtype-III-B_7,Cas,CAS_Class1-Subtype-III-B,Defense,WP_011229144.1,WP_011229139.1,WP_011229139.1,6,"cas10_III_6,cmr1gr7_III-B_1,cmr3gr5_III-B_III-C_8,cmr4gr7_III-B_III-C_1,cmr5gr11_III-B_4,cmr6gr7_III-B_3",TTH_RS10840
ordered_protein_CAS_Class1-Subtype-I-E_5,Cas,CAS_Class1-Subtype-I-E,Defense,WP_011229118.1,WP_164926117.1,WP_011229118.1,9,"WYL_I_II_III_IV_V_VI_4,cas1_I-E_1,cas2_I-E_1,cas3_I_2,cas5_I-E_13,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_16,cas8e_I-E_1,cse2gr11_I-E_1",TTH_RS10940
ordered_protein_CAS_Class1-Subtype-I-E_5,Cas,CAS_Class1-Subtype-I-E,Defense,WP_011229118.1,WP_164926117.1,WP_011229117.1,9,"WYL_I_II_III_IV_V_VI_4,cas1_I-E_1,cas2_I-E_1,cas3_I_2,cas5_I-E_13,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_16,cas8e_I-E_1,cse2gr11_I-E_1",TTH_RS10945
ordered_protein_CAS_Class1-Subtype-I-E_5,Cas,CAS_Class1-Subtype-I-E,Defense,WP_011229118.1,WP_164926117.1,WP_011229116.1,9,"WYL_I_II_III_IV_V_VI_4,cas1_I-E_1,cas2_I-E_1,cas3_I_2,cas5_I-E_13,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_16,cas8e_I-E_1,cse2gr11_I-E_1",TTH_RS10950
ordered_protein_CAS_Class1-Subtype-I-E_5,Cas,CAS_Class1-Subtype-I-E,Defense,WP_011229118.1,WP_164926117.1,WP_011229115.1,9,"WYL_I_II_III_IV_V_VI_4,cas1_I-E_1,cas2_I-E_1,cas3_I_2,cas5_I-E_13,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_16,cas8e_I-E_1,cse2gr11_I-E_1",TTH_RS10955
ordered_protein_CAS_Class1-Subtype-I-E_5,Cas,CAS_Class1-Subtype-I-E,Defense,WP_011229118.1,WP_164926117.1,WP_011229114.1,9,"WYL_I_II_III_IV_V_VI_4,cas1_I-E_1,cas2_I-E_1,cas3_I_2,cas5_I-E_13,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_16,cas8e_I-E_1,cse2gr11_I-E_1",TTH_RS10960
ordered_protein_CAS_Class1-Subtype-I-E_5,Cas,CAS_Class1-Subtype-I-E,Defense,WP_011229118.1,WP_164926117.1,WP_011229113.1,9,"WYL_I_II_III_IV_V_VI_4,cas1_I-E_1,cas2_I-E_1,cas3_I_2,cas5_I-E_13,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_16,cas8e_I-E_1,cse2gr11_I-E_1",TTH_RS10965
ordered_protein_CAS_Class1-Subtype-I-E_5,Cas,CAS_Class1-Subtype-I-E,Defense,WP_011229118.1,WP_164926117.1,WP_011229112.1,9,"WYL_I_II_III_IV_V_VI_4,cas1_I-E_1,cas2_I-E_1,cas3_I_2,cas5_I-E_13,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_16,cas8e_I-E_1,cse2gr11_I-E_1",TTH_RS10970
ordered_protein_CAS_Class1-Subtype-I-E_5,Cas,CAS_Class1-Subtype-I-E,Defense,WP_011229118.1,WP_164926117.1,WP_011229111.1,9,"WYL_I_II_III_IV_V_VI_4,cas1_I-E_1,cas2_I-E_1,cas3_I_2,cas5_I-E_13,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_16,cas8e_I-E_1,cse2gr11_I-E_1",TTH_RS10975
ordered_protein_CAS_Class1-Subtype-I-E_5,Cas,CAS_Class1-Subtype-I-E,Defense,WP_011229118.1,WP_164926117.1,WP_164926117.1,9,"WYL_I_II_III_IV_V_VI_4,cas1_I-E_1,cas2_I-E_1,cas3_I_2,cas5_I-E_13,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_16,cas8e_I-E_1,cse2gr11_I-E_1",TTH_RS10980
ordered_protein_CAS_Class1-Subtype-I-B_4,Cas,CAS_Class1-Subtype-I-B,Defense,WP_011174371.1,WP_011229076.1,WP_011174371.1,9,"WYL_I_II_III_IV_V_VI_4,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_3,cas3_I_2,cas4_I_II_III_IV_V_VI_1,cas5_I-B_14,cas6_I_II_III_IV_V_VI_7,cas7_I-B_10,cas8b5_I-B_1",TTH_RS11115
ordered_protein_CAS_Class1-Subtype-I-B_4,Cas,CAS_Class1-Subtype-I-B,Defense,WP_011174371.1,WP_011229076.1,WP_164926120.1,9,"WYL_I_II_III_IV_V_VI_4,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_3,cas3_I_2,cas4_I_II_III_IV_V_VI_1,cas5_I-B_14,cas6_I_II_III_IV_V_VI_7,cas7_I-B_10,cas8b5_I-B_1",TTH_RS11120
ordered_protein_CAS_Class1-Subtype-I-B_4,Cas,CAS_Class1-Subtype-I-B,Defense,WP_011174371.1,WP_011229076.1,WP_024118772.1,9,"WYL_I_II_III_IV_V_VI_4,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_3,cas3_I_2,cas4_I_II_III_IV_V_VI_1,cas5_I-B_14,cas6_I_II_III_IV_V_VI_7,cas7_I-B_10,cas8b5_I-B_1",TTH_RS11125
ordered_protein_CAS_Class1-Subtype-I-B_4,Cas,CAS_Class1-Subtype-I-B,Defense,WP_011174371.1,WP_011229076.1,WP_024118773.1,9,"WYL_I_II_III_IV_V_VI_4,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_3,cas3_I_2,cas4_I_II_III_IV_V_VI_1,cas5_I-B_14,cas6_I_II_III_IV_V_VI_7,cas7_I-B_10,cas8b5_I-B_1",TTH_RS11130
ordered_protein_CAS_Class1-Subtype-I-B_4,Cas,CAS_Class1-Subtype-I-B,Defense,WP_011174371.1,WP_011229076.1,WP_011229080.1,9,"WYL_I_II_III_IV_V_VI_4,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_3,cas3_I_2,cas4_I_II_III_IV_V_VI_1,cas5_I-B_14,cas6_I_II_III_IV_V_VI_7,cas7_I-B_10,cas8b5_I-B_1",TTH_RS11135
ordered_protein_CAS_Class1-Subtype-I-B_4,Cas,CAS_Class1-Subtype-I-B,Defense,WP_011174371.1,WP_011229076.1,WP_011229079.1,9,"WYL_I_II_III_IV_V_VI_4,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_3,cas3_I_2,cas4_I_II_III_IV_V_VI_1,cas5_I-B_14,cas6_I_II_III_IV_V_VI_7,cas7_I-B_10,cas8b5_I-B_1",TTH_RS11650
ordered_protein_CAS_Class1-Subtype-I-B_4,Cas,CAS_Class1-Subtype-I-B,Defense,WP_011174371.1,WP_011229076.1,WP_224065255.1,9,"WYL_I_II_III_IV_V_VI_4,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_3,cas3_I_2,cas4_I_II_III_IV_V_VI_1,cas5_I-B_14,cas6_I_II_III_IV_V_VI_7,cas7_I-B_10,cas8b5_I-B_1",TTH_RS11145
ordered_protein_CAS_Class1-Subtype-I-B_4,Cas,CAS_Class1-Subtype-I-B,Defense,WP_011174371.1,WP_011229076.1,WP_011229077.1,9,"WYL_I_II_III_IV_V_VI_4,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_3,cas3_I_2,cas4_I_II_III_IV_V_VI_1,cas5_I-B_14,cas6_I_II_III_IV_V_VI_7,cas7_I-B_10,cas8b5_I-B_1",TTH_RS11150
ordered_protein_CAS_Class1-Subtype-I-B_4,Cas,CAS_Class1-Subtype-I-B,Defense,WP_011174371.1,WP_011229076.1,WP_011229076.1,9,"WYL_I_II_III_IV_V_VI_4,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_3,cas3_I_2,cas4_I_II_III_IV_V_VI_1,cas5_I-B_14,cas6_I_II_III_IV_V_VI_7,cas7_I-B_10,cas8b5_I-B_1",TTH_RS11155
