"","sys_id","type","subtype","activity","sys_beg","sys_end","protein_in_syst","genes_count","name_of_profiles_in_sys","Geneid"
"14","reordered_CAS_Class1-Subtype-I-E_11","Cas","CAS_Class1-Subtype-I-E","Defense","NP_417234.2","NP_417241.1","NP_417241.1",8,"cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1","b2761"
"15","reordered_MazEF_4","MazEF","MazEF","Defense","NP_417262.1","NP_417263.1","NP_417262.1",2,"MazEF__MazE,MazEF__MazF","b2782"
"16","reordered_MazEF_4","MazEF","MazEF","Defense","NP_417262.1","NP_417263.1","NP_417263.1",2,"MazEF__MazE,MazEF__MazF","b2783"
"17","reordered_MazEF_5","MazEF","MazEF","Defense","NP_418645.2","NP_418646.1","NP_418645.2",2,"MazEF__MazE,MazEF__MazF","b4224"
"18","reordered_MazEF_5","MazEF","MazEF","Defense","NP_418645.2","NP_418646.1","NP_418646.1",2,"MazEF__MazE,MazEF__MazF","b4225"
"19","reordered_RM_Type_IV_10","RM","RM_Type_IV","Defense","NP_418765.1","YP_010051217.1","NP_418765.1",3,"RM_Type_IV__FAM_1,RM_Type_IV__FAM_1,RM_Type_IV__FAM_2","b4345"
"20","reordered_RM_Type_IV_10","RM","RM_Type_IV","Defense","NP_418765.1","YP_010051217.1","NP_418766.4",3,"RM_Type_IV__FAM_1,RM_Type_IV__FAM_1,RM_Type_IV__FAM_2","b4346"
"21","reordered_RM_Type_IV_10","RM","RM_Type_IV","Defense","NP_418765.1","YP_010051217.1","YP_010051217.1",3,"RM_Type_IV__FAM_1,RM_Type_IV__FAM_1,RM_Type_IV__FAM_2","b4346"
"22","reordered_RM_Type_I_8","RM","RM_Type_I","Defense","NP_418768.1","NP_418770.2","NP_418768.1",3,"RM__Type_I_MTases_FAM_2,RM__Type_I_REases_FAM_2.einsi_trimmed,RM__Type_I_S_52","b4348"
"23","reordered_RM_Type_I_8","RM","RM_Type_I","Defense","NP_418768.1","NP_418770.2","NP_418769.1",3,"RM__Type_I_MTases_FAM_2,RM__Type_I_REases_FAM_2.einsi_trimmed,RM__Type_I_S_52","b4349"
"24","reordered_RM_Type_I_8","RM","RM_Type_I","Defense","NP_418768.1","NP_418770.2","NP_418770.2",3,"RM__Type_I_MTases_FAM_2,RM__Type_I_REases_FAM_2.einsi_trimmed,RM__Type_I_S_52","b4350"
